         1,         3,        16,        15
         2,         3,        15,         5
         3,        18,        17,        16
         4,        18,        16,         3
         5,        20,         3,         5
         6,        20,         5,        21
         7,        19,        18,         3
         8,        19,         3,        20
         9,         4,        14,        13
        10,         4,        13,         9
        11,         5,        15,        14
        12,         5,        14,         4
        13,        22,         4,         9
        14,        22,         9,        23
        15,        21,         5,         4
        16,        21,         4,        22
        17,         6,        12,        11
        18,         6,        11,         8
        19,         9,        13,        12
        20,         9,        12,         6
        21,        24,         6,         8
        22,        24,         8,        25
        23,        23,         9,         6
        24,        23,         6,        24
        25,         7,        10,         2
        26,         7,         2,        27
        27,         8,        11,        10
        28,         8,        10,         7
        29,        26,         7,        27
        30,        26,        27,         1
        31,        25,         8,         7
        32,        25,         7,        26
