         1,  0.0            ,  0.0            
         2,  0.0            ,  12.0           
         3,  42.0           ,  6.0            
         4,  30.0           ,  6.0            
         5,  36.0           ,  6.0            
         6,  18.0           ,  6.0            
         7,  6.0            ,  6.0            
         8,  12.0           ,  6.0            
         9,  24.0           ,  6.0            
        10,  6.0            ,  12.0           
        11,  12.0           ,  12.0           
        12,  18.0           ,  12.0           
        13,  24.0           ,  12.0           
        14,  30.0           ,  12.0           
        15,  36.0           ,  12.0           
        16,  42.0           ,  12.0           
        17,  48.0           ,  12.0           
        18,  48.0           ,  6.0            
        19,  48.0           ,  0.0            
        20,  42.0           ,  0.0            
        21,  36.0           ,  0.0            
        22,  30.0           ,  0.0            
        23,  24.0           ,  0.0            
        24,  18.0           ,  0.0            
        25,  12.0           ,  0.0            
        26,  6.0            ,  0.0            
        27,  0.0            ,  6.0            
