27
 0.0            ,  -6.0             
 0.0            ,  6.0              
 42.0           ,  0.0              
 30.0           ,  0.0              
 36.0           ,  0.0              
 18.0           ,  0.0              
 6.0            ,  0.0              
 12.0           ,  0.0              
 24.0           ,  0.0              
 6.0            ,  6.0              
 12.0           ,  6.0              
 18.0           ,  6.0              
 24.0           ,  6.0              
 30.0           ,  6.0              
 36.0           ,  6.0              
 42.0           ,  6.0              
 48.0           ,  6.0              
 48.0           ,  0.0              
 48.0           ,  -6.0             
 42.0           ,  -6.0             
 36.0           ,  -6.0             
 30.0           ,  -6.0             
 24.0           ,  -6.0             
 18.0           ,  -6.0             
 12.0           ,  -6.0             
 6.0            ,  -6.0             
 0.0            ,  0.0            
32
    3,         5,        20
    5,        21,        20
    3,        20,        19
    3,        19,        18
    3,        18,        16
   18,        17,        16
    4,         9,        22
    9,        23,        22
    3,        16,        15
    3,        15,         5
    4,        22,        21
    4,        21,         5
    4,         5,        14
    5,        15,        14
    6,         8,        24
    8,        25,        24
    4,        14,        13
    4,        13,         9
    6,        24,        23
    6,        23,         9
    6,         9,        12
    9,        13,        12
    1,        26,        27
   26,         7,        27
    6,        12,        11
    6,        11,         8
    7,        26,        25
    7,        25,         8
    7,         8,        10
    8,        11,        10
    2,        27,         7
    2,         7,        10
